player=0,SET:BDGH
player=1,SET:DEFH
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,E
player=1,MOV:C,N
player=0,MOV:C,E
player=1,MOV:C,E
player=0,MOV:E,N
player=1,MOV:C,N
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:G,N
player=1,MOV:A,E
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:F,N
player=1,MOV:B,E
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,W
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:G,W
player=0,MOV:G,N
player=1,MOV:F,N
player=0,MOV:G,E
winner=0
