player=0,SET:ADEF
player=1,SET:ADFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:H,E
player=0,MOV:B,W
player=1,MOV:B,E
player=0,MOV:B,W
player=1,MOV:B,E
player=0,MOV:C,N
player=1,MOV:B,S
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:C,E
player=1,MOV:B,S
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:E,N
player=1,MOV:B,S
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:B,S
player=0,MOV:F,N
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:C,W
player=0,MOV:C,S
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,S
player=1,MOV:C,N
player=0,MOV:F,N
player=1,MOV:C,N
player=0,MOV:H,E
player=1,MOV:C,E
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,S
player=0,MOV:G,N
player=1,MOV:C,E
player=0,MOV:G,E
player=1,MOV:C,S
player=0,MOV:G,N
player=1,MOV:C,N
player=0,MOV:G,E
player=1,MOV:C,S
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:F,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:F,N
player=1,MOV:F,W
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,S
player=0,MOV:G,S
player=1,MOV:F,N
winner=2
