player=0,SET:ACDE
player=1,SET:CEFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:G,E
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,E
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:C,W
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:F,W
player=0,MOV:B,N
player=1,MOV:F,W
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,W
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:G,N
player=0,MOV:C,E
player=1,MOV:E,N
player=0,MOV:D,E
player=1,MOV:G,N
player=0,MOV:C,E
player=1,MOV:G,N
player=0,MOV:C,S
player=1,MOV:G,E
player=0,MOV:C,N
player=1,MOV:G,N
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,S
winner=2
